RowID,OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Segment,Country,City,State,PostalCode,Region,ProductID,Category,SubCategory,ProductName,DiscountUnitPrice,Sales,Quantity,Discount,Profit,ProductCost,TotalCost,DiscountValue,OriginalSaleValue,CataloguePrice,SupplierPrice,Sex
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,130.98,26195.0,2,0.0,4191.0,110.0232,220.0464,0.0,261.96,13097.0,11002.0,F
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",243.98,73194.0,3,0.0,21958.0,170.786,512.358,0.0,731.94,24398.0,17078.0,F
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,7.31,1462.0,2,0.0,687.0,3.8743,7.7486,0.0,14.62,731.0,387.0,M
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,191.5155,95757.0,5,0.45,-38303.0,268.1217,1340.6085,430.909875,1388.487375,34821.0,26812.0,M
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,11.184,2236.0,2,0.2,251.0,9.9258,19.8516,4.4736,26.8416,1397.0,992.0,M
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6.98,4886.0,7,0.0,1416.0,4.9558,34.6906,0.0,48.86,698.0,495.0,F
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,1.82,728.0,4,0.0,196.0,1.3286,5.3144,0.0,7.28,182.0,132.0,F
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,151.192,90715.0,6,0.2,9071.0,136.0728,816.4368,181.4304,1088.5824,18899.0,13607.0,F
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,6.168,1850.0,3,0.2,578.0,4.2405,12.7215,3.7008,22.2048,771.0,424.0,F
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,22.98,11490.0,5,0.0,3447.0,16.086,80.43,0.0,114.9,2298.0,1608.0,F
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,189.576,170618.0,9,0.2,8530.0,180.0972,1620.8748,341.2368,2047.4208,23696.0,18009.0,F
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,227.856,91142.0,4,0.2,6835.0,210.7668,843.0672,182.2848,1093.7088,28482.0,21076.0,F
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,5.184,1555.0,3,0.2,544.0,3.3696,10.1088,3.1104,18.6624,648.0,336.0,M
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,135.992,40797.0,3,0.2,13259.0,91.7946,275.3838,81.5952,489.5712,16998.0,9179.0,F
